Year,Link
1970,https://open.spotify.com/playlist/37i9dQZF1DWXQyLTHGuTIz?si=71c58886eb294883
1971,https://open.spotify.com/playlist/37i9dQZF1DX43B4ApmA3Ee?si=f1e4a0b943de445e
1972,https://open.spotify.com/playlist/37i9dQZF1DXaQBa5hAMckp?si=7797ba5eaf1644f4
1973,https://open.spotify.com/playlist/37i9dQZF1DX2ExTChOnD3g?si=618614560722411e
1974,https://open.spotify.com/playlist/37i9dQZF1DWVg6L7Yq13eC?si=39dde34f1fdb4307
1975,https://open.spotify.com/playlist/37i9dQZF1DX3TYyWu8Zk7P?si=585464b37ff54427
1976,https://open.spotify.com/playlist/37i9dQZF1DX6rhG68uMHxl?si=aefe10dbf806441d
1977,https://open.spotify.com/playlist/37i9dQZF1DX26cozX10stk?si=5e49c8ee74214d4c
1978,https://open.spotify.com/playlist/37i9dQZF1DX0fr2A59qlzT?si=ccd41072f5b74822
1979,https://open.spotify.com/playlist/37i9dQZF1DWZLO9LcfSmxX?si=4a9702dc77664211
1980,https://open.spotify.com/playlist/37i9dQZF1DWXbLOeOIhbc5?si=a27f75abbdf04a3a
1981,https://open.spotify.com/playlist/37i9dQZF1DX3MaR62kDrX7?si=d63ba0d204d7437b
1982,https://open.spotify.com/playlist/37i9dQZF1DXas7qFgKz9OV?si=1f7f7c7f5c704006
1983,https://open.spotify.com/playlist/37i9dQZF1DXbE3rNuDfpVj?si=882598c3d5704fc5
1984,https://open.spotify.com/playlist/37i9dQZF1DX2O7iyPnNKby?si=86922365b8c84ad9
1985,https://open.spotify.com/playlist/37i9dQZF1DWXZ5eJ1sVtmf?si=e725c40d28d54206
1986,https://open.spotify.com/playlist/37i9dQZF1DX7b12kdMQTpG?si=7c5f16a0acea4883
1987,https://open.spotify.com/playlist/37i9dQZF1DX38yySwWsFRT?si=6a80dbc260844283
1988,https://open.spotify.com/playlist/37i9dQZF1DX3MZ9dVGvZnZ?si=723a4e237cea401f
1989,https://open.spotify.com/playlist/37i9dQZF1DX4qJrOCfJytN?si=612e26ebf6f24045
1990,https://open.spotify.com/playlist/37i9dQZF1DX4joPVMjBCAo?si=381cb9bcafc649c9
1991,https://open.spotify.com/playlist/37i9dQZF1DX6TtJfRD994c?si=7eff9970ddae47bd
1992,https://open.spotify.com/playlist/37i9dQZF1DX9ZZCtVNwklG?si=a9460e9f43314788
1993,https://open.spotify.com/playlist/37i9dQZF1DXbUFx5bcjwWK?si=76bc85a7465d45f1
1994,https://open.spotify.com/playlist/37i9dQZF1DXbKFudfYGcmj?si=35a63dcd37644c20
1995,https://open.spotify.com/playlist/37i9dQZF1DXayIOFUOVODK?si=9a6dfbc83856499e
1996,https://open.spotify.com/playlist/37i9dQZF1DWZkDl55BkJmo?si=8b829285fdb344d5
1997,https://open.spotify.com/playlist/37i9dQZF1DWWKd15PHZNnl?si=9398438cd17f45eb
1998,https://open.spotify.com/playlist/37i9dQZF1DWWmGB2u14f8m?si=8c2067d1a2394879
1999,https://open.spotify.com/playlist/37i9dQZF1DX4PrR66miO50?si=2f08686366704fc4
2000,https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk?si=4486a5fedab04fc8
2001,https://open.spotify.com/playlist/37i9dQZF1DX9Ol4tZWPH6V?si=7d2301dad70b46e8
2002,https://open.spotify.com/playlist/37i9dQZF1DX0P7PzzKwEKl?si=62884c2706c34c49
2003,https://open.spotify.com/playlist/37i9dQZF1DXaW8fzPh9b08?si=b519aedd30fc45be
2004,https://open.spotify.com/playlist/37i9dQZF1DWTWdbR13PQYH?si=eee9e65068cd400f
2005,https://open.spotify.com/playlist/37i9dQZF1DWWzQTBs5BHX9?si=3d7527f61c4d40d4
2006,https://open.spotify.com/playlist/37i9dQZF1DX1vSJnMeoy3V?si=330649468b2a4aa1
2007,https://open.spotify.com/playlist/37i9dQZF1DX3j9EYdzv2N9?si=b1dccba9bfff4152
2008,https://open.spotify.com/playlist/37i9dQZF1DWYuGZUE4XQXm?si=c50b6e55786d4f32
2009,https://open.spotify.com/playlist/37i9dQZF1DX4UkKv8ED8jp?si=630b8a29b88743a2
2010,https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj?si=e6d42f1999b547b4
2011,https://open.spotify.com/playlist/37i9dQZF1DXcagnSNtrGuJ?si=dad03d0892f74a28
2012,https://open.spotify.com/playlist/37i9dQZF1DX0yEZaMOXna3?si=51c10a688bbd4e0f
2013,https://open.spotify.com/playlist/37i9dQZF1DX3Sp0P28SIer?si=65e6542f2e374d4f
2014,https://open.spotify.com/playlist/37i9dQZF1DX0h0QnLkMBl4?si=bb469584ef33462e
2015,https://open.spotify.com/playlist/37i9dQZF1DX9ukdrXQLJGZ?si=d4d04ad2fb50485e
2016,https://open.spotify.com/playlist/37i9dQZF1DX8XZ6AUo9R4R?si=02f0e9fbe20341ca
2017,https://open.spotify.com/playlist/37i9dQZF1DWTE7dVUebpUW?si=be6293e31b1e4727
2018,https://open.spotify.com/playlist/37i9dQZF1DXe2bobNYDtW8?si=1fccd980ee1b4835
2019,https://open.spotify.com/playlist/37i9dQZF1DWVRSukIED0e9?si=a071a2ec32584ef7